# z      t_rms    u_rms
0.810100 0.007131 0.002464
0.812019 0.007142 0.002482
0.813930 0.007153 0.002500
0.815833 0.007164 0.002518
0.817729 0.007174 0.002536
0.819617 0.007185 0.002554
0.821498 0.007195 0.002572
0.823371 0.007205 0.002590
0.825236 0.007215 0.002608
0.827094 0.007225 0.002626
0.828943 0.007235 0.002644
0.830785 0.007244 0.002662
0.832618 0.007253 0.002679
0.834444 0.007263 0.002697
0.836261 0.007272 0.002715
0.838071 0.007280 0.002733
0.839872 0.007289 0.002750
0.841666 0.007297 0.002768
0.843451 0.007305 0.002786
0.845228 0.007313 0.002803
0.846996 0.007321 0.002821
0.848756 0.007328 0.002838
0.850508 0.007335 0.002855
0.852251 0.007342 0.002873
0.853986 0.007349 0.002890
0.855713 0.007355 0.002907
0.857431 0.007361 0.002925
0.859140 0.007367 0.002942
0.860841 0.007372 0.002959
0.862533 0.007377 0.002976
0.864216 0.007382 0.002993
0.865890 0.007386 0.003010
0.867556 0.007390 0.003026
0.869213 0.007393 0.003043
0.870861 0.007396 0.003060
0.872500 0.007399 0.003076
0.874130 0.007401 0.003093
0.875752 0.007403 0.003109
0.877364 0.007405 0.003126
0.878967 0.007406 0.003142
0.880561 0.007406 0.003158
0.882146 0.007406 0.003174
0.883721 0.007406 0.003190
0.885288 0.007405 0.003206
0.886845 0.007404 0.003222
0.888393 0.007402 0.003238
0.889932 0.007400 0.003254
0.891461 0.007397 0.003269
0.892981 0.007393 0.003285
0.894491 0.007389 0.003300
0.895992 0.007385 0.003316
0.897483 0.007379 0.003331
0.898965 0.007374 0.003346
0.900437 0.007367 0.003361
0.901900 0.007360 0.003376
0.903353 0.007353 0.003391
0.904796 0.007345 0.003406
0.906230 0.007336 0.003420
0.907654 0.007326 0.003435
0.909068 0.007316 0.003449
0.910472 0.007306 0.003463
0.911866 0.007294 0.003477
0.913251 0.007282 0.003491
0.914625 0.007270 0.003505
0.915990 0.007256 0.003519
0.917344 0.007242 0.003533
0.918689 0.007227 0.003546
0.920024 0.007212 0.003560
0.921348 0.007196 0.003573
0.922662 0.007179 0.003586
0.923966 0.007161 0.003599
0.925260 0.007143 0.003612
0.926544 0.007124 0.003625
0.927817 0.007104 0.003638
0.929081 0.007084 0.003650
0.930334 0.007063 0.003663
0.931576 0.007041 0.003675
0.932808 0.007019 0.003687
0.934030 0.006995 0.003699
0.935242 0.006971 0.003711
0.936442 0.006947 0.003723
0.937633 0.006921 0.003734
0.938813 0.006895 0.003746
0.939982 0.006868 0.003757
0.941141 0.006841 0.003768
0.942289 0.006813 0.003779
0.943427 0.006784 0.003790
0.944554 0.006755 0.003801
0.945670 0.006724 0.003811
0.946776 0.006694 0.003822
0.947870 0.006662 0.003832
0.948954 0.006630 0.003842
0.950028 0.006597 0.003852
0.951090 0.006564 0.003862
0.952142 0.006530 0.003872
0.953183 0.006495 0.003881
0.954213 0.006460 0.003891
0.955232 0.006424 0.003900
0.956240 0.006388 0.003909
0.957237 0.006351 0.003918
0.958223 0.006314 0.003927
0.959198 0.006275 0.003936
0.960162 0.006237 0.003944
0.961115 0.006198 0.003952
0.962057 0.006158 0.003961
0.962988 0.006118 0.003969
0.963907 0.006077 0.003977
0.964816 0.006036 0.003984
0.965713 0.005994 0.003992
0.966600 0.005952 0.004000
0.967475 0.005910 0.004007
0.968338 0.005866 0.004014
0.969191 0.005822 0.004021
0.970032 0.005778 0.004028
0.970862 0.005733 0.004035
0.971681 0.005688 0.004042
0.972488 0.005642 0.004048
0.973284 0.005595 0.004055
0.974069 0.005548 0.004061
0.974842 0.005500 0.004067
0.975604 0.005451 0.004073
0.976354 0.005401 0.004079
0.977093 0.005351 0.004084
0.977821 0.005299 0.004090
0.978537 0.005247 0.004095
0.979241 0.005194 0.004101
0.979934 0.005139 0.004106
0.980616 0.005084 0.004111
0.981286 0.005027 0.004116
0.981944 0.004969 0.004120
0.982591 0.004909 0.004125
0.983226 0.004848 0.004129
0.983850 0.004785 0.004134
0.984462 0.004721 0.004138
0.985062 0.004654 0.004142
0.985651 0.004586 0.004146
0.986228 0.004515 0.004149
0.986793 0.004442 0.004153
0.987347 0.004367 0.004157
0.987889 0.004290 0.004160
0.988419 0.004210 0.004163
0.988938 0.004127 0.004166
0.989444 0.004042 0.004169
0.989939 0.003953 0.004172
0.990422 0.003862 0.004175
0.990894 0.003769 0.004177
0.991354 0.003672 0.004180
0.991801 0.003572 0.004182
0.992237 0.003469 0.004184
0.992662 0.003363 0.004187
0.993074 0.003255 0.004189
0.993475 0.003143 0.004190
0.993863 0.003029 0.004192
0.994240 0.002912 0.004192
0.994605 0.002793 0.004192
0.994958 0.002671 0.004190
0.995299 0.002548 0.004189
0.995629 0.002423 0.004188
0.995946 0.002296 0.004190
0.996251 0.002168 0.004199
0.996545 0.002039 0.004216
0.996827 0.001910 0.004244
0.997096 0.001781 0.004284
0.997354 0.001652 0.004334
0.997600 0.001524 0.004389
0.997834 0.001396 0.004439
0.998056 0.001271 0.004475
0.998266 0.001148 0.004484
0.998463 0.001028 0.004455
0.998649 0.000912 0.004377
0.998823 0.000800 0.004243
0.998985 0.000694 0.004048
0.999136 0.000594 0.003793
0.999274 0.000501 0.003481
0.999400 0.000415 0.003119
0.999514 0.000337 0.002719
0.999616 0.000266 0.002294
0.999706 0.000204 0.001862
0.999784 0.000150 0.001439
0.999850 0.000104 0.001043
0.999904 0.000067 0.000691
0.999946 0.000037 0.000400
0.999976 0.000017 0.000181
0.999994 0.000004 0.000046
